age,workclass,fnlwgt,education,education.num,marital.status,occupation,relationship,race,sex,capital.gain,capital.loss,hours.per.week,native.country,income
40,Self-employed,335549,Professional Degree,15,Never-married,Prof-specialty,Not-in-family,White,Male,0,2444,45,United-States,>50K
50,Private,237729,High School Grad,9,Widowed,Sales,Not-in-family,White,Female,0,2444,72,United-States,>50K
51,State-gov,68898,Associate's degree,11,Divorced,Tech-support,Not-in-family,White,Male,0,2444,39,United-States,>50K
39,Private,141584,Masters,14,Never-married,Sales,Not-in-family,White,Male,0,2444,45,United-States,>50K
32,Private,207668,Bachelors,13,Never-married,Exec-managerial,Other-relative,White,Male,0,2444,50,United-States,>50K
38,Private,237608,Bachelors,13,Never-married,Sales,Not-in-family,White,Female,0,2444,45,United-States,>50K
33,Private,194901,Associate's degree,11,Divorced,Craft-repair,Not-in-family,White,Male,0,2444,42,United-States,>50K
43,Private,155106,Associate's degree,12,Divorced,Craft-repair,Not-in-family,White,Male,0,2444,70,United-States,>50K
50,Self-employed,121441,High School Incomplete,7,Never-married,Exec-managerial,Other-relative,White,Male,0,2444,40,United-States,>50K
51,Self-employed,160724,Bachelors,13,Married,Sales,Husband,Asian-Pac-Islander,Male,0,2415,40,China,>50K
41,Private,132222,Professional Degree,15,Married,Prof-specialty,Husband,White,Male,0,2415,40,United-States,>50K
60,Self-employed,226355,Associate's degree,11,Married,Machine-op-inspct,Husband,White,Male,0,2415,70,United-States,>50K
37,Private,329980,Masters,14,Married,Exec-managerial,Husband,White,Male,0,2415,60,United-States,>50K
55,Self-employed,124137,Professional Degree,15,Married,Prof-specialty,Husband,White,Male,0,2415,35,Greece,>50K
39,Self-employed,329980,Bachelors,13,Married,Sales,Husband,White,Male,0,2415,60,United-States,>50K
42,Self-employed,187702,Professional Degree,15,Married,Prof-specialty,Husband,White,Male,0,2415,60,United-States,>50K
49,Private,199029,Bachelors,13,Married,Sales,Husband,White,Male,0,2415,55,United-States,>50K
47,Self-employed,145290,High School Grad,9,Married,Exec-managerial,Husband,White,Male,0,2415,50,United-States,>50K
41,Local-gov,297248,Professional Degree,15,Married,Prof-specialty,Husband,White,Male,0,2415,45,United-States,>50K
55,Self-employed,227856,Bachelors,13,Married,Exec-managerial,Husband,White,Male,0,2415,50,United-States,>50K
39,Private,179731,Masters,14,Married,Exec-managerial,Wife,White,Female,0,2415,65,United-States,>50K
42,Private,154374,Bachelors,13,Married,Exec-managerial,Husband,White,Male,0,2415,60,United-States,>50K
41,Private,27187,Associate's degree,11,Married,Prof-specialty,Husband,White,Male,0,2415,12,United-States,>50K
46,Private,326857,Masters,14,Married,Sales,Husband,White,Male,0,2415,65,United-States,>50K
40,Private,160369,Masters,14,Married,Exec-managerial,Husband,White,Male,0,2415,45,United-States,>50K
32,Private,396745,Bachelors,13,Married,Prof-specialty,Husband,White,Male,0,2415,48,United-States,>50K
60,Self-employed,336188,Professional Degree,15,Married,Prof-specialty,Husband,White,Male,0,2415,80,United-States,>50K
31,Private,279015,Masters,14,Married,Exec-managerial,Husband,White,Male,0,2415,70,Taiwan,>50K
37,Self-employed,30529,Bachelors,13,Married,Sales,Husband,White,Male,0,2415,50,United-States,>50K
44,Self-employed,201742,Bachelors,13,Married,Exec-managerial,Husband,White,Male,0,2415,50,United-States,>50K
39,Self-employed,218490,Professional Degree,15,Married,Prof-specialty,Husband,White,Male,0,2415,50,United-States,>50K
43,Federal-gov,156996,Professional Degree,15,Married,Prof-specialty,Husband,Asian-Pac-Islander,Male,0,2415,55,United-States,>50K
55,Self-employed,298449,Bachelors,13,Married,Exec-managerial,Husband,White,Male,0,2415,50,United-States,>50K
44,Self-employed,191712,Masters,14,Married,Prof-specialty,Husband,White,Male,0,2415,55,United-States,>50K
39,Private,198654,Professional Degree,15,Married,Prof-specialty,Husband,Asian-Pac-Islander,Male,0,2415,67,India,>50K
46,Self-employed,102308,Bachelors,13,Married,Sales,Husband,White,Male,0,2415,40,United-States,>50K
62,Self-employed,56248,Bachelors,13,Married,Farming-fishing,Husband,White,Male,0,2415,60,United-States,>50K
31,Self-employed,252752,High School Grad,9,Married,Other-service,Wife,White,Female,0,2415,40,United-States,>50K
46,Private,192963,Bachelors,13,Married,Adm-clerical,Husband,Asian-Pac-Islander,Male,0,2415,35,Philippines,>50K
46,Self-employed,198759,Professional Degree,15,Married,Prof-specialty,Husband,White,Male,0,2415,80,United-States,>50K
39,Self-employed,143123,Associate's degree,11,Married,Craft-repair,Husband,White,Male,0,2415,40,United-States,>50K
39,Private,237713,Professional Degree,15,Married,Sales,Husband,White,Male,0,2415,99,United-States,>50K
59,Private,81929,Doctorate,16,Married,Prof-specialty,Husband,White,Male,0,2415,45,United-States,>50K
50,Self-employed,167793,Professional Degree,15,Married,Prof-specialty,Husband,White,Male,0,2415,60,United-States,>50K
46,Private,456062,Doctorate,16,Married,Prof-specialty,Husband,White,Male,0,2415,55,United-States,>50K
53,Self-employed,105478,Bachelors,13,Married,Exec-managerial,Husband,White,Male,0,2415,40,United-States,>50K
50,Self-employed,42402,Professional Degree,15,Married,Prof-specialty,Husband,White,Male,0,2415,30,United-States,>50K
41,Self-employed,114580,Professional Degree,15,Married,Exec-managerial,Wife,White,Female,0,2415,55,United-States,>50K
36,Private,346478,Bachelors,13,Married,Sales,Husband,White,Male,0,2415,45,United-States,>50K
38,Private,187870,Professional Degree,15,Married,Prof-specialty,Husband,White,Male,0,2415,90,United-States,>50K
50,Private,102346,Bachelors,13,Married,Exec-managerial,Wife,White,Female,0,2415,20,United-States,>50K
47,Private,148995,Bachelors,13,Married,Exec-managerial,Husband,White,Male,0,2415,60,United-States,>50K
47,Self-employed,102308,Professional Degree,15,Married,Prof-specialty,Husband,White,Male,0,2415,45,United-States,>50K
67,Private,105252,Bachelors,13,Widowed,Exec-managerial,Not-in-family,White,Male,0,2392,40,United-States,>50K
67,Self-employed,106175,Bachelors,13,Married,Exec-managerial,Husband,White,Male,0,2392,75,United-States,>50K
72,Self-employed,52138,Doctorate,16,Married,Prof-specialty,Husband,White,Male,0,2392,25,United-States,>50K
72,Private,118902,Doctorate,16,Married,Prof-specialty,Husband,White,Male,0,2392,6,United-States,>50K
46,Self-employed,191978,Masters,14,Married,Exec-managerial,Husband,White,Male,0,2392,50,United-States,>50K
78,Self-employed,188044,Bachelors,13,Married,Exec-managerial,Husband,White,Male,0,2392,40,United-States,>50K
71,Self-employed,66624,Bachelors,13,Married,Exec-managerial,Husband,White,Male,0,2392,60,United-States,>50K
83,Self-employed,153183,Bachelors,13,Married,Exec-managerial,Husband,White,Male,0,2392,55,United-States,>50K
68,Private,211287,Masters,14,Married,Exec-managerial,Husband,White,Male,0,2392,40,United-States,>50K
26,Private,181655,Associate's degree,11,Married,Adm-clerical,Husband,White,Male,0,2377,45,United-States,<=50K
68,State-gov,235882,Doctorate,16,Married,Prof-specialty,Husband,White,Male,0,2377,60,United-States,>50K
49,Self-employed,158685,High School Grad,9,Married,Adm-clerical,Wife,White,Female,0,2377,40,United-States,>50K
36,Private,370767,High School Grad,9,Married,Prof-specialty,Husband,White,Male,0,2377,60,United-States,<=50K
70,Self-employed,155141,Bachelors,13,Married,Craft-repair,Husband,White,Male,0,2377,12,United-States,>50K
23,Private,162945,High School Grad,9,Married,Sales,Husband,White,Male,0,2377,40,United-States,<=50K
81,Private,177408,High School Grad,9,Married,Exec-managerial,Husband,White,Male,0,2377,26,United-States,>50K
66,Self-employed,427422,Doctorate,16,Married,Sales,Husband,White,Male,0,2377,25,United-States,>50K
71,Private,152307,High School Grad,9,Married,Exec-managerial,Husband,White,Male,0,2377,45,United-States,>50K
68,State-gov,202699,Masters,14,Married,Prof-specialty,Husband,White,Male,0,2377,42,United-States,>50K
65,Private,240857,Bachelors,13,Married,Prof-specialty,Husband,White,Male,0,2377,40,United-States,>50K
52,Private,222405,High School Grad,9,Married,Sales,Husband,Black,Male,0,2377,40,United-States,<=50K
40,Self-employed,110862,Associate's degree,12,Married,Craft-repair,Husband,White,Male,0,2377,50,United-States,<=50K
68,Private,257269,Bachelors,13,Married,Prof-specialty,Husband,White,Male,0,2377,35,United-States,>50K
35,Private,192923,High School Grad,9,Married,Craft-repair,Husband,White,Male,0,2377,40,United-States,<=50K
70,Self-employed,207938,Bachelors,13,Married,Exec-managerial,Husband,White,Male,0,2377,50,United-States,>50K
61,Self-employed,36671,High School Grad,9,Married,Farming-fishing,Husband,White,Male,0,2352,50,United-States,<=50K
65,Self-employed,81413,High School Grad,9,Married,Farming-fishing,Husband,White,Male,0,2352,65,United-States,<=50K
26,Local-gov,166295,Bachelors,13,Never-married,Prof-specialty,Not-in-family,White,Male,0,2339,55,United-States,<=50K
59,Local-gov,147707,High School Grad,9,Widowed,Farming-fishing,Unmarried,White,Male,0,2339,40,United-States,<=50K
60,State-gov,358893,Bachelors,13,Divorced,Prof-specialty,Not-in-family,White,Female,0,2339,40,United-States,<=50K
34,Private,25322,Bachelors,13,Married,Machine-op-inspct,Not-in-family,Asian-Pac-Islander,Male,0,2339,40,United-States,<=50K
25,Private,77071,Bachelors,13,Never-married,Prof-specialty,Own-child,White,Female,0,2339,35,United-States,<=50K
59,Local-gov,171328,High School Grad,9,Divorced,Protective-serv,Other-relative,Black,Female,0,2339,40,United-States,<=50K
43,Private,152569,Associate's degree,11,Widowed,Prof-specialty,Not-in-family,White,Female,0,2339,36,United-States,<=50K
56,Self-employed,346635,Masters,14,Divorced,Sales,Unmarried,White,Female,0,2339,60,United-States,<=50K
41,Private,162140,High School Grad,9,Divorced,Craft-repair,Not-in-family,White,Male,0,2339,40,United-States,<=50K
42,Private,191765,High School Grad,9,Never-married,Adm-clerical,Other-relative,Black,Female,0,2339,40,Trinadad&Tobago,<=50K
28,Private,251905,Professional Degree,15,Never-married,Prof-specialty,Not-in-family,White,Male,0,2339,40,Canada,<=50K
40,Self-employed,33310,Professional Degree,15,Divorced,Other-service,Not-in-family,White,Female,0,2339,35,United-States,<=50K
69,Private,228921,Bachelors,13,Widowed,Prof-specialty,Not-in-family,White,Male,0,2282,40,United-States,>50K
66,Local-gov,36364,High School Grad,9,Married,Craft-repair,Husband,White,Male,0,2267,40,United-States,<=50K
55,Local-gov,176046,Masters,14,Married,Prof-specialty,Wife,White,Female,0,2267,40,United-States,<=50K
57,Federal-gov,370890,High School Grad,9,Never-married,Adm-clerical,Not-in-family,White,Male,0,2258,40,United-States,<=50K
33,Private,288825,High School Grad,9,Divorced,Craft-repair,Not-in-family,White,Male,0,2258,84,United-States,<=50K
40,Private,287983,Bachelors,13,Never-married,Tech-support,Not-in-family,Asian-Pac-Islander,Female,0,2258,48,Philippines,<=50K
46,State-gov,192779,Associate's degree,12,Divorced,Adm-clerical,Unmarried,White,Male,0,2258,38,United-States,>50K
29,Private,135296,Bachelors,13,Never-married,Exec-managerial,Not-in-family,White,Female,0,2258,45,United-States,>50K
57,Federal-gov,199114,Bachelors,13,Never-married,Adm-clerical,Not-in-family,White,Male,0,2258,40,United-States,<=50K
39,Private,156897,High School Grad,9,Never-married,Craft-repair,Own-child,White,Male,0,2258,42,United-States,>50K
47,Private,138107,Bachelors,13,Divorced,Exec-managerial,Not-in-family,White,Male,0,2258,40,United-States,>50K
26,Private,279833,Bachelors,13,Never-married,Exec-managerial,Not-in-family,White,Male,0,2258,45,United-States,>50K
27,Self-employed,208577,High School Grad,9,Never-married,Craft-repair,Not-in-family,White,Male,0,2258,50,United-States,<=50K
23,Private,102942,Bachelors,13,Never-married,Prof-specialty,Own-child,White,Female,0,2258,40,United-States,>50K
34,Private,36385,Masters,14,Never-married,Prof-specialty,Not-in-family,White,Male,0,2258,50,United-States,<=50K
33,Private,176185,High School Incomplete,8,Divorced,Craft-repair,Not-in-family,White,Male,0,2258,42,United-States,<=50K
38,Local-gov,162613,Masters,14,Never-married,Prof-specialty,Not-in-family,White,Female,0,2258,60,United-States,<=50K
36,Private,145933,High School Grad,9,Never-married,Exec-managerial,Not-in-family,White,Male,0,2258,70,United-States,<=50K
44,Federal-gov,29591,Bachelors,13,Divorced,Tech-support,Not-in-family,White,Male,0,2258,40,United-States,>50K
49,State-gov,269417,Doctorate,16,Never-married,Exec-managerial,Not-in-family,White,Female,0,2258,50,United-States,>50K
45,Private,187901,High School Grad,9,Divorced,Farming-fishing,Not-in-family,White,Male,0,2258,44,United-States,>50K
48,Private,175070,High School Grad,9,Divorced,Exec-managerial,Not-in-family,White,Female,0,2258,40,United-States,>50K
31,Private,263561,Bachelors,13,Married,Exec-managerial,Husband,White,Male,0,2246,45,United-States,>50K
55,Local-gov,99131,High School Grad,9,Married,Prof-specialty,Other-relative,White,Female,0,2246,40,United-States,>50K
70,Self-employed,124449,Masters,14,Married,Exec-managerial,Husband,White,Male,0,2246,8,United-States,>50K
73,Private,336007,Bachelors,13,Married,Prof-specialty,Husband,White,Male,0,2246,40,United-States,>50K
72,Self-employed,285408,Professional Degree,15,Married,Prof-specialty,Husband,White,Male,0,2246,28,United-States,>50K
31,Private,327825,High School Grad,9,Divorced,Machine-op-inspct,Unmarried,White,Female,0,2238,40,United-States,<=50K
23,Self-employed,258298,Bachelors,13,Never-married,Adm-clerical,Own-child,White,Male,0,2231,40,United-States,>50K
90,Private,51744,High School Grad,9,Never-married,Other-service,Not-in-family,Black,Male,0,2206,40,United-States,<=50K
68,Private,166149,High School Grad,9,Widowed,Adm-clerical,Not-in-family,White,Female,0,2206,30,United-States,<=50K
65,Private,149811,High School Grad,9,Divorced,Adm-clerical,Unmarried,White,Female,0,2206,59,Canada,<=50K
65,Private,143118,High School Grad,9,Widowed,Prof-specialty,Unmarried,White,Female,0,2206,10,United-States,<=50K
67,Private,118363,Bachelors,13,Divorced,Exec-managerial,Not-in-family,White,Female,0,2206,5,United-States,<=50K
66,Local-gov,362165,Bachelors,13,Widowed,Prof-specialty,Not-in-family,Black,Female,0,2206,25,United-States,<=50K
20,Private,107801,Associate's degree,12,Never-married,Other-service,Own-child,White,Female,0,2205,18,United-States,<=50K
38,Private,126675,High School Grad,9,Divorced,Craft-repair,Not-in-family,White,Male,0,2205,40,United-States,<=50K
63,Private,234083,High School Grad,9,Divorced,Prof-specialty,Not-in-family,White,Female,0,2205,40,United-States,<=50K
42,Self-employed,23510,Masters,14,Divorced,Exec-managerial,Unmarried,Asian-Pac-Islander,Male,0,2201,60,India,>50K
64,Private,181232,High School Incomplete,7,Married,Craft-repair,Husband,White,Male,0,2179,40,United-States,<=50K
41,Self-employed,139916,Associate's degree,11,Married,Sales,Husband,Other,Male,0,2179,84,Mexico,<=50K
34,Self-employed,56460,High School Grad,9,Married,Farming-fishing,Wife,White,Female,0,2179,12,United-States,<=50K
45,Private,167523,High School Grad,9,Married,Transport-moving,Husband,White,Male,0,2179,45,United-States,<=50K
29,Private,119004,High School Grad,9,Married,Adm-clerical,Wife,White,Female,0,2179,40,United-States,<=50K
63,Private,83043,Bachelors,13,Married,Prof-specialty,Husband,White,Male,0,2179,45,United-States,<=50K
41,Self-employed,170214,High School Grad,9,Married,Handlers-cleaners,Husband,White,Male,0,2179,40,United-States,<=50K
66,Private,177351,Bachelors,13,Married,Prof-specialty,Husband,White,Male,0,2174,40,United-States,>50K
70,Private,282642,High School Grad,9,Married,Handlers-cleaners,Husband,White,Male,0,2174,40,United-States,>50K
75,Self-employed,309955,Professional Degree,15,Married,Prof-specialty,Husband,White,Male,0,2174,50,United-States,>50K
65,State-gov,215908,High School Grad,9,Married,Adm-clerical,Husband,White,Male,0,2174,40,United-States,>50K
60,Private,141221,Bachelors,13,Married,Prof-specialty,Husband,Asian-Pac-Islander,Male,0,2163,25,South,<=50K
68,Self-employed,116903,Associate's degree,11,Married,Prof-specialty,Husband,White,Male,0,2149,40,United-States,<=50K
74,Self-employed,119129,High School Grad,9,Married,Sales,Husband,White,Male,0,2149,20,United-States,<=50K
19,Self-employed,342384,High School Incomplete,7,Married,Craft-repair,Own-child,White,Male,0,2129,55,United-States,<=50K
37,Self-employed,68899,High School Grad,9,Married,Craft-repair,Husband,White,Male,0,2129,40,United-States,<=50K
45,Federal-gov,207107,Associate's degree,12,Divorced,Adm-clerical,Unmarried,Asian-Pac-Islander,Male,0,2080,40,Philippines,<=50K
64,Private,149044,Masters,14,Married,Prof-specialty,Husband,Asian-Pac-Islander,Male,0,2057,60,China,<=50K
30,Private,148524,High School Grad,9,Married,Transport-moving,Husband,White,Male,0,2057,40,United-States,<=50K
35,Private,272019,High School Incomplete,7,Married,Craft-repair,Husband,White,Male,0,2057,40,United-States,<=50K
29,Private,239753,High School Grad,9,Married,Adm-clerical,Wife,White,Female,0,2057,20,United-States,<=50K
41,Private,125831,High School Grad,9,Married,Craft-repair,Husband,White,Male,0,2051,60,United-States,<=50K
54,Private,172281,High School Grad,9,Married,Transport-moving,Husband,White,Male,0,2051,50,United-States,<=50K
52,Local-gov,305053,High School Grad,9,Married,Craft-repair,Husband,White,Male,0,2051,40,United-States,<=50K
50,Self-employed,105010,High School Grad,9,Married,Farming-fishing,Husband,White,Male,0,2051,20,United-States,<=50K
38,Federal-gov,248919,High School Grad,9,Married,Transport-moving,Husband,White,Male,0,2051,40,United-States,<=50K
34,Local-gov,105540,Bachelors,13,Married,Prof-specialty,Husband,White,Male,0,2051,40,United-States,<=50K
52,Private,195635,High School Grad,9,Married,Machine-op-inspct,Husband,White,Male,0,2051,38,United-States,<=50K
54,Private,816750,High School Grad,9,Married,Craft-repair,Husband,White,Male,0,2051,40,United-States,<=50K
38,Private,160192,High School Grad,9,Married,Craft-repair,Husband,White,Male,0,2051,44,United-States,<=50K
39,Private,136081,High School Grad,9,Married,Machine-op-inspct,Husband,White,Male,0,2051,40,United-States,<=50K
29,Private,244473,Associate's degree,11,Married,Tech-support,Husband,White,Male,0,2051,40,United-States,<=50K
45,Private,187033,High School Grad,9,Married,Craft-repair,Husband,White,Male,0,2051,40,United-States,<=50K
34,Private,265807,High School Grad,9,Married,Transport-moving,Husband,White,Male,0,2051,55,United-States,<=50K
38,Private,154410,High School Grad,9,Married,Craft-repair,Husband,White,Male,0,2051,40,Poland,<=50K
61,Private,179743,High School Grad,9,Married,Craft-repair,Husband,White,Male,0,2051,20,United-States,<=50K
43,Private,117037,High School Incomplete,7,Married,Transport-moving,Husband,White,Male,0,2042,40,United-States,<=50K
38,Private,35429,High School Grad,9,Married,Handlers-cleaners,Husband,White,Male,0,2042,40,United-States,<=50K
42,Self-employed,120837,High School Grad,9,Married,Craft-repair,Husband,White,Male,0,2042,48,United-States,<=50K
34,Private,90614,Associate's degree,12,Married,Tech-support,Husband,White,Male,0,2042,10,United-States,<=50K
32,Private,260954,High School Incomplete,7,Married,Craft-repair,Husband,White,Male,0,2042,30,United-States,<=50K
60,Private,127084,High School Grad,9,Married,Protective-serv,Husband,White,Male,0,2042,34,United-States,<=50K
49,Local-gov,107231,High School Grad,9,Married,Craft-repair,Husband,White,Male,0,2002,40,United-States,<=50K
53,Local-gov,135102,High School Grad,9,Married,Other-service,Husband,White,Male,0,2002,45,United-States,<=50K
48,Private,413363,High School Incomplete,7,Married,Transport-moving,Husband,White,Male,0,2002,40,United-States,<=50K
32,Federal-gov,148138,Bachelors,13,Married,Prof-specialty,Husband,Asian-Pac-Islander,Male,0,2002,40,Iran,<=50K
42,Self-employed,170721,High School Grad,9,Married,Craft-repair,Husband,White,Male,0,2002,40,United-States,<=50K
32,Private,102858,Associate's degree,12,Married,Prof-specialty,Husband,White,Male,0,2002,42,United-States,<=50K
28,Local-gov,175262,Associate's degree,12,Married,Protective-serv,Husband,White,Male,0,2002,40,England,<=50K
26,Private,36936,Associate's degree,11,Married,Craft-repair,Husband,White,Male,0,2002,40,United-States,<=50K
59,Private,169982,Bachelors,13,Married,Exec-managerial,Husband,White,Male,0,2002,50,United-States,<=50K
47,Self-employed,208407,Bachelors,13,Married,Prof-specialty,Husband,White,Male,0,2002,30,United-States,<=50K
26,Private,131777,Bachelors,13,Married,Prof-specialty,Husband,White,Male,0,2002,40,United-States,<=50K
41,Private,41090,High School Grad,9,Married,Craft-repair,Husband,White,Male,0,2002,60,United-States,<=50K
36,Private,183739,High School Grad,9,Married,Craft-repair,Own-child,White,Female,0,2002,40,United-States,<=50K
45,Private,357540,Bachelors,13,Married,Sales,Husband,White,Male,0,2002,55,United-States,<=50K
30,Private,48520,Associate's degree,12,Married,Prof-specialty,Husband,White,Male,0,2002,40,United-States,<=50K
36,Private,107916,High School Grad,9,Married,Transport-moving,Husband,White,Male,0,2002,40,United-States,<=50K
34,Self-employed,198613,High School Grad,9,Married,Exec-managerial,Husband,White,Male,0,2002,40,United-States,<=50K
53,Private,283743,High School Grad,9,Married,Transport-moving,Husband,White,Male,0,2002,40,United-States,<=50K
51,Private,210940,High School Grad,9,Married,Sales,Husband,White,Male,0,2002,45,United-States,<=50K
47,Self-employed,355978,Doctorate,16,Married,Transport-moving,Husband,White,Male,0,2002,45,United-States,<=50K
19,Private,241616,High School Grad,9,Never-married,Prof-specialty,Unmarried,White,Male,0,2001,40,United-States,<=50K
30,Private,57651,High School Grad,9,Never-married,Adm-clerical,Unmarried,White,Male,0,2001,42,United-States,<=50K
20,Private,315877,High School Grad,9,Never-married,Other-service,Unmarried,White,Male,0,2001,40,United-States,<=50K
42,Federal-gov,74680,Masters,14,Divorced,Adm-clerical,Not-in-family,White,Male,0,2001,60,United-States,<=50K
31,Private,454508,High School Incomplete,7,Never-married,Craft-repair,Not-in-family,White,Male,0,2001,40,United-States,<=50K
33,Private,202046,Bachelors,13,Never-married,Handlers-cleaners,Not-in-family,White,Male,0,2001,40,United-States,<=50K
25,Private,121102,Associate's degree,12,Never-married,Tech-support,Not-in-family,White,Female,0,2001,30,United-States,<=50K
20,Private,146879,High School Grad,9,Never-married,Other-service,Not-in-family,White,Male,0,2001,40,United-States,<=50K
23,Private,213955,High School Grad,9,Never-married,Adm-clerical,Own-child,Black,Male,0,2001,40,United-States,<=50K
55,Private,123382,High School Grad,9,Divorced,Prof-specialty,Not-in-family,Black,Female,0,2001,40,United-States,<=50K
54,Self-employed,199741,High School Grad,9,Widowed,Craft-repair,Not-in-family,White,Male,0,2001,35,United-States,<=50K
25,Private,378322,High School Grad,9,Never-married,Craft-repair,Not-in-family,White,Male,0,2001,50,United-States,<=50K
24,Private,210029,High School Grad,9,Never-married,Adm-clerical,Not-in-family,White,Female,0,2001,37,United-States,<=50K
56,Federal-gov,61885,Bachelors,13,Never-married,Transport-moving,Not-in-family,Black,Male,0,2001,65,United-States,<=50K
34,Private,209297,High School Grad,9,Never-married,Machine-op-inspct,Not-in-family,Black,Male,0,2001,40,United-States,<=50K
19,Private,198459,High School Grad,9,Never-married,Adm-clerical,Own-child,White,Male,0,2001,40,United-States,<=50K
48,Private,93476,High School Grad,9,Divorced,Adm-clerical,Not-in-family,White,Female,0,2001,40,United-States,<=50K
34,Private,174789,Bachelors,13,Never-married,Other-service,Not-in-family,White,Male,0,2001,40,United-States,<=50K
31,Private,189759,High School Grad,9,Never-married,Farming-fishing,Not-in-family,White,Male,0,2001,40,United-States,<=50K
36,Private,297847,High School Grad,9,Never-married,Other-service,Not-in-family,Black,Female,0,2001,40,United-States,<=50K
27,Private,124953,High School Grad,9,Never-married,Other-service,Not-in-family,White,Male,0,1980,40,United-States,<=50K
35,Private,187119,Bachelors,13,Divorced,Sales,Not-in-family,White,Female,0,1980,65,United-States,<=50K
31,Self-employed,161745,Bachelors,13,Married,Exec-managerial,Not-in-family,White,Male,0,1980,60,United-States,<=50K
27,Federal-gov,469705,High School Grad,9,Never-married,Craft-repair,Not-in-family,Black,Male,0,1980,40,United-States,<=50K
28,Local-gov,304960,Associate's degree,12,Never-married,Adm-clerical,Not-in-family,White,Female,0,1980,40,United-States,<=50K
